USERID,ZDATE,ZTDATE,VERSION,LASTNAME,FIRSTNAME,FUNCTION,DEPARTMENT,COMPANY,USERTYPE,USERGROUP,LASTLOGONDATE,LASTLOGONTIME,EXPIRATIONSTARTDATE,EXPIRATIONENDDATE,USERLOCKSTATUS,ASSIGNEDROLE,TCDNUM,USEDTCD,ASSIGNEDTYPID,ROLETYPID,TCDTYPID
MGBLD012,202508,,1.68,MGBLD012,,,,Metanet Global,A,,,오전 12:00:00,,,0,21,1,0,,GB Advanced Use,
MGBLD013,202508,,1.68,MGBLD013,,,,Metanet Global,A,,,오전 12:00:00,,,0,21,1,0,,GB Advanced Use,
MGBLD014,202508,,1.68,MGBLD014,,,,Metanet Global,A,,2024-07-25,오후 5:30:16,,,0,22,1,0,,GB Advanced Use,
MGBLD015,202508,202504,1.68,MGBLD015,,,,Metanet Global,A,,2025-04-30,오후 3:18:37,,,0,21,1,0,,GB Advanced Use,
MGBLD016,202508,202504,1.68,MGBLD016,,,,Metanet Global,A,,2025-05-13,오후 8:25:36,,,0,21,1,3,,GB Advanced Use,
MGBLD016,202508,202505,1.68,MGBLD016,,,,Metanet Global,A,,2025-05-13,오후 8:25:36,,,0,21,1,15,,GB Advanced Use,GB Advanced Use
MGBLD017,202508,202504,1.68,MGBLD017,,,,Metanet Global,A,,2025-06-24,오전 10:21:00,,,0,21,1,5,,GB Advanced Use,GB Advanced Use
MGBLD018,202508,,1.68,MGBLD018,,,,Metanet Global,A,,,오전 12:00:00,,,0,21,1,0,,GB Advanced Use,
MGBLD019,202508,,1.68,MGBLD019,,,,Metanet Global,A,,2025-03-22,오전 12:00:00,,,0,21,1,0,,GB Advanced Use,
MGBLD020,202508,,1.68,MGBLD020,,,,Metanet Global,A,,2025-06-24,오전 11:39:21,,,0,21,1,0,,GB Advanced Use,
MGBLD021,202508,,1.68,MGBLD021,,,,Metanet Global,A,,,오전 12:00:00,,,0,21,1,0,,GB Advanced Use,
MGBLD022,202508,,1.68,MGBLD022,,,,Metanet Global,A,,2024-01-18,오전 12:00:00,,,64,21,1,0,,GB Advanced Use,
MGBLD023,202508,,1.68,MGBLD023,,,,Metanet Global,A,,,오전 12:00:00,,,64,21,1,0,,GB Advanced Use,
MGBLD024,202508,,1.68,MGBLD024,,,,Metanet Global,A,,,오전 12:00:00,,,64,21,1,0,,GB Advanced Use,
MGBLD025,202508,,1.68,MGBLD025,,,,Metanet Global,A,,2024-04-16,오후 3:27:01,,,0,21,1,0,,GB Advanced Use,
MTGCON001,202508,202504,1.68,MTGCON001,,,,ATNS Group,A,,2025-08-05,오후 2:32:44,,,0,21,1,8,,GB Advanced Use,GB Advanced Use
MTGCON001,202508,202505,1.68,MTGCON001,,,,ATNS Group,A,,2025-08-05,오후 2:32:44,,,0,21,1,7,,GB Advanced Use,GB Advanced Use
NEWJEANS,202508,202505,1.68,NEWJEANS,,,,ATNS Group,A,,2025-05-11,오전 5:54:47,,,0,0,0,2,,GB Advanced Use,GB Advanced Use
NKH,202508,,1.68,kh,n,,,ATNS Group,A,,2024-12-08,오후 9:43:18,,,0,1,0,0,,GB Advanced Use,
PICACHEUSER,202508,,,PICACHEUSER,,,,ATNS Group,B,,,오전 12:00:00,,,0,3,0,0,,Not classified,
PUN,202508,,1.68,국,은혜,,,ATNS Group,A,,2024-07-18,오후 3:16:41,2019-06-24,2099-06-24,0,1,1,0,,GB Advanced Use,
SAP_SATC_ADM,202508,,,SAP_SATC_ADM,,,,ATNS Group,A,,2025-03-27,오후 4:31:12,,,0,1,0,0,,Not classified,
SBECK,202508,,1.68,SBECK,,,,ATNS Group,A,,2025-03-26,오후 5:29:08,,,0,8,19,0,,GB Advanced Use,
SMTMSOL,202508,,1.68,SMTMSOL,SOLMAN,,,ATNS Group,B,,2024-12-28,오후 9:08:36,,,0,2,0,0,,GB Advanced Use,
SM_SOL,202508,,1.68,SM_SOL,SOLMAN,,,ATNS Group,B,,2024-12-29,오전 7:27:13,,,0,1,0,0,,GD Self-Service Use,
SNOW,202508,,1.68,Service Now,,,,ATNS Group,S,,2025-02-06,오전 11:36:00,,,0,3,39,0,,GB Advanced Use,
SOHYUN,202508,202504,1.68,Sohyun,Jun,,,ATNS Group,A,SUPER,2025-08-04,오후 4:22:37,,,0,2,0,5,,GB Advanced Use,
SOHYUN,202508,202505,1.68,Sohyun,Jun,,,ATNS Group,A,SUPER,2025-08-04,오후 4:22:37,,,0,2,0,5,,GB Advanced Use,GB Advanced Use
SOHYUNJUN,202508,,1.68,jun,sohyun,,,ATNS Group,A,,,오전 12:00:00,,,0,2,0,0,,GB Advanced Use,
